# epsilon[Mev/fm^3] ,  P[Mev/fm^3] ,   n_B[fm^{-3}] ,  mu [MeV]
3786.1002646816, 3335.4610628906, 1.997, 3566.129858574
3750.1971061486, 3291.7705175309, 1.987, 3544.0199414592
3714.8549344676, 3248.7041228192, 1.977, 3522.2858155219
3680.0737496387, 3205.6377281075, 1.967, 3500.6159012436
3645.2925648098, 3163.1954840437, 1.957, 3479.0434587908
3610.5113799809, 3120.75323998, 1.947, 3457.2494195998
3575.730195152, 3078.9351465643, 1.937, 3435.5525770347
3541.5099971751, 3037.1170531485, 1.927, 3413.9216659697
3507.8507860504, 2995.9231103808, 1.917, 3392.6833053893
3473.6305880736, 2954.7291676131, 1.907, 3370.9280312987
3439.9713769488, 2914.1593754933, 1.897, 3349.568135183
3406.8731526762, 2874.2137340216, 1.887, 3328.6099028605
3373.7749284035, 2834.2680925498, 1.877, 3307.4283542639
3340.6767041308, 2794.3224510781, 1.867, 3286.0199010225
3307.5784798582, 2755.0009602544, 1.857, 3264.716984444
3275.0412424376, 2715.6794694306, 1.847, 3243.487120665
3243.0649918691, 2677.6062799028, 1.837, 3223.0110352596
3211.0887413006, 2638.9089397271, 1.827, 3201.969174071
3179.1124907321, 2600.8357501993, 1.817, 3181.0392079975
3147.1362401636, 2563.3867113196, 1.807, 3160.2229947333
3115.7209764471, 2525.9376724398, 1.797, 3139.4872837434
3084.3057127307, 2488.4886335601, 1.787, 3118.5194998829
3053.4514358664, 2451.6637453283, 1.777, 3097.9826568344
3022.597159002, 2415.4630077445, 1.767, 3077.5665912544
2991.7428821377, 2379.2622701608, 1.757, 3056.9181287982
2961.4495921254, 2343.685683225, 1.747, 3036.7116630512
2931.1563021131, 2308.1090962892, 1.737, 3016.2725379403
2900.8630121009, 2273.1566600014, 1.727, 2995.9581193412
2871.1307089407, 2238.2042237137, 1.717, 2975.7337988668
2841.3984057805, 2203.2517874259, 1.707, 2955.2725209176
2812.2270894724, 2168.9235017861, 1.697, 2935.2684686261
2783.0557731642, 2135.2193667943, 1.687, 2915.3972376755
2753.8844568561, 2101.5152318025, 1.677, 2895.2890212634
2724.713140548, 2068.4352474588, 1.667, 2875.3139700101
2696.102811092, 2035.355263115, 1.657, 2855.4363755021
2668.053468488, 2002.8994294192, 1.647, 2836.0369750499
2639.443139032, 1970.4435957234, 1.637, 2816.0578709563
2611.3937964281, 1937.9877620276, 1.627, 2796.1779707779
2583.3444538241, 1906.1560789798, 1.617, 2776.4381773679
2555.8560980722, 1874.94854658, 1.607, 2757.190195801
2528.3677423204, 1843.7410141802, 1.597, 2737.7011624925
2500.8793865685, 1813.1576324284, 1.587, 2718.359810332
2473.9520176687, 1782.5742506766, 1.577, 2699.1288955899
2447.0246487689, 1751.9908689248, 1.567, 2679.6525320317
2420.6582667212, 1722.031637821, 1.557, 2660.6871577021
2402.1457006026, 1701.4346664371, 1.55, 2647.4712045417
2271.9967509202, 1557.25586675, 1.5, 2552.8350784468
2146.3356960545, 1419.9427241909, 1.45, 2459.5023587899
2025.7235228575, 1290.7435400557, 1.4, 2368.905044938
1909.5992444771, 1168.4100130485, 1.35, 2280.0068574264
1797.9628609134, 1053.5662938173, 1.3, 2193.4839651774
1690.2533853142, 944.9640810659, 1.25, 2108.1739731041
1587.0318045317, 843.8516760906, 1.2, 2025.7362338519
1487.7371317137, 749.6049282432, 1.15, 1945.5148347451
1392.3693668602, 662.2238375238, 1.1, 1867.8120039855
1300.9285099714, 581.0842532843, 1.05, 1792.3931078625
1212.8535741949, 506.435835784, 1, 1719.2894099789
1128.7055463831, 438.0289247636, 0.95, 1649.1941801544
1047.9234396837, 375.613859964, 0.9, 1581.7081107197
970.5072540968, 319.1282263204, 0.85, 1517.2182122555
896.4569896223, 268.2599485087, 0.8, 1455.8961726638
825.2116594083, 222.8217813346, 0.75, 1397.3779209905
756.7712634547, 182.5640645388, 0.7, 1341.9076114193
690.5748149093, 147.2995529271, 0.65, 1289.0374889791
627.7442874765, 116.6537561105, 0.6, 1240.6634059782
566.5967205999, 90.4394288946, 0.55, 1194.6111808991
508.0296932428, 68.3444959556, 0.5, 1152.7483783967
451.3700211828, 50.0319159434, 0.45, 1114.2265269471
396.5055070495, 35.2333040794, 0.4, 1079.3470278222
343.3239534724, 23.6116190137, 0.35, 1048.3873499602
291.6009657107, 14.8298193964, 0.3, 1021.435950357
241.1121490236, 8.5321393581, 0.25, 998.5771535267
191.6892073554, 4.3434643594, 0.2, 980.1633585741
143.0516472802, 1.861841383, 0.15, 966.0899244209
95.0311727422, 0.6188453675, 0.1, 956.5001810968
72.030711807, 0.335231313, 0.07596, 952.6848751973
69.3940736022, 0.314946417, 0.07317, 952.6994672565
58.9597181535, 0.2401107543, 0.0622, 951.7657380674
40.4022730867, 0.1349413701, 0.04268, 949.7941531591
27.8698268113, 0.0808275089, 0.02948, 948.1226024492
20.8518812918, 0.0550001551, 0.02207, 947.298660937
15.101766058, 0.0359573188, 0.016, 946.10771105
10.5577725561, 0.0223695592, 0.0112, 944.6555460136
7.0628244677, 0.013038507, 0.007496, 943.9518376083
4.4351620525, 0.0069592797, 0.00471, 943.125548251
3.3945314419, 0.0048671268, 0.003606, 942.7062031846
2.5149040579, 0.0032880256, 0.002673, 942.084580428
1.7822552291, 0.0021389643, 0.001895, 941.632819697
1.1859262053, 0.0013450446, 0.001262, 940.7854595417
0.7197461312, 0.0008344894, 0.0007661, 940.5829795507
0.5694016549, 0.0006946797, 0.0006059, 940.9082926745
0.5016905418, 0.0006360095, 0.0005341, 940.5103001771
0.4394770999, 0.0005846419, 0.000468, 940.3028671597
0.3827052305, 0.0005395158, 0.0004076, 940.2471695497
0.3316554269, 0.0005002567, 0.0003533, 940.1519493165
0.286552084, 0.0004661157, 0.0003053, 940.1185710642
0.2479561886, 0.0004365934, 0.0002643, 939.8137797852
0.2344925042, 0.000425858, 0.00025, 939.6734486247
0.2252923198, 0.0004181809, 0.0002401, 940.0687244028
0.2168214183, 0.0004107535, 0.0002311, 939.9920894418
0.2092480958, 0.0004037006, 0.0002231, 939.7211854084
0.202628451, 0.0003967726, 0.000216, 939.9315904532
0.1960649048, 0.0003879096, 0.0002091, 939.5160900496
0.1952795232, 0.0003874727, 0.0002082, 939.8030544236
0.1949990298, 0.0003867862, 0.0002079, 939.8067144745
0.192642885, 0.0003812936, 0.0002054, 939.7477051354
0.1854061546, 0.0003646912, 0.0001977, 939.660322892
0.178393819, 0.0003485257, 0.0001902, 939.7599615299
0.1715497794, 0.000332922, 0.000183, 939.2497339968
0.1649301345, 0.0003178799, 0.0001759, 939.4429473352
0.1584787857, 0.0003032748, 0.000169, 939.5388195988
0.1522518317, 0.0002892938, 0.0001624, 939.2926445788
0.1238097983, 0.0002262546, 0.0001321, 938.9557370458
0.0995190676, 0.000174138, 0.0001062, 938.7307494314
0.0789869488, 0.0001316334, 0.00008433, 938.2020887513
0.0617085537, 9.74299161521756E-005, 0.00006592, 937.5907713114
0.0473697298, 7.03417780291492E-005, 0.00005063, 936.995290689
0.0356058355, 0.000049389, 0.00003807, 936.5701219394
0.0260971084, 3.34981652779453E-005, 0.00002791, 936.2453072016
0.0234155912, 2.88856919892549E-005, 0.00002507, 935.1606261575
0.0185967141, 2.12460880577838E-005, 0.00001991, 935.105988673
0.014209797, 1.56224907193399E-005, 0.00001522, 934.6530521604
0.0117302351, 0.000012096, 0.00001257, 934.15522009
0.0093179916, 8.894146733943E-006, 0.000009982, 934.3704427737
0.0073994166, 6.54109879099808E-006, 0.00000793, 933.9164789046
0.0056715771, 4.80720829086519E-006, 0.000006081, 933.462306004
0.0045052854, 3.53394096895335E-006, 0.00000483, 933.5029710178
0.0037058791, 2.72254512655855E-006, 0.000003974, 933.2163286263
0.0023370712, 1.47049892667858E-006, 0.000002507, 932.8048363335
0.0014277115, 7.93919624250912E-007, 0.000001532, 932.4448160349
0.0009009449, 4.28167344525256E-007, 9.667E-007, 932.4227286475
0.0005867922, 2.57711802557548E-007, 6.296E-007, 932.41734288
0.0004657874, 1.89055231277988E-007, 5.001E-007, 931.7665237203
0.000293901, 1.01674140558548E-007, 3.156E-007, 931.5674459594
0.0001854062, 5.45382836218905E-008, 1.991E-007, 931.4951928466
0.000147259, 4.1668297260213E-008, 1.581E-007, 931.6933394561
7.37697710483969E-005, 1.62528828738158E-008, 7.926E-008, 930.9364614089
3.69802532890519E-005, 6.27895551883976E-009, 3.973E-008, 930.9471997123
1.85237858556507E-005, 2.39236943376867E-009, 1.99E-008, 930.9637299037
9.28433240190851E-006, 8.9565617987426E-010, 0.00000001, 928.5228058088
4.65226396429168E-006, 3.28240825781096E-010, 0.000000005, 930.5184410235
3.69578138149687E-006, 2.44105318431236E-010, 0.000000004, 924.0063717038
