# energy density [MeV/fm3], pressure  [MeV/fm3], baryon density [1/fm3], chemical potential [MeV]
1228.3889194818,94.7499347163,0.0176536181,74950.01
1220.3811872784,93.869927159,0.0175467415,74900.01
1212.4045554564,92.9952548322,0.0174402089,74850.01
1204.4589896165,92.1259005361,0.0173340203,74800.01
1196.5444553594,91.2618470711,0.0172281757,74750.01
1188.6609182855,90.4030772375,0.017122675,74700.01
1180.8083439956,89.5495738355,0.0170175184,74650.01
1172.9866980902,88.7013196655,0.0169127057,74600.01
1165.1959461699,87.8582975277,0.0168082371,74550.01
1157.4360538353,87.0204902225,0.0167041124,74500.01
1149.706986687,86.1878805501,0.0166003318,74450.01
1142.0087103257,85.360451311,0.0164968951,74400.01
1134.3411903519,84.5381853053,0.0163938024,74350.01
1126.7043923662,83.7210653333,0.0162910538,74300.01
1119.0982819693,82.9090741955,0.0161886491,74250.01
1111.5228247617,82.102194692,0.0160865884,74200.01
1103.9779863441,81.3004096232,0.0159848717,74150.01
1096.463732317,80.5037017893,0.015883499,74100.01
1088.9800282811,79.7120539908,0.0157824703,74050.01
1081.5268398369,78.9254490278,0.0156817856,74000.01
1074.1041325851,78.1438697007,0.0155814448,73950.01
1066.7118721263,77.3672988098,0.0154814481,73900.01
1059.3500240611,76.5957191554,0.0153817954,73850.01
1052.01855399,75.8291135378,0.0152824866,73800.01
1044.7174275137,75.0674647573,0.0151835219,73750.01
1037.4466102328,74.3107556141,0.0150849012,73700.01
1030.2060677479,73.5589689087,0.0149866244,73650.01
1022.9957656596,72.8120874413,0.0148886916,73600.01
1015.8156695685,72.0700940121,0.0147911029,73550.01
1008.6657450752,71.3329714216,0.0146938581,73500.01
1001.5459577803,70.60070247,0.0145969573,73450.01
994.4562732843,69.8732699576,0.0145004005,73400.01
987.3966571881,69.1506566847,0.0144041877,73350.01
980.367075092,68.4328454516,0.0143083189,73300.01
973.3674925967,67.7198190586,0.0142127941,73250.01
966.3978753029,67.011560306,0.0141176133,73200.01
959.4581888111,66.3080519942,0.0140227765,73150.01
952.548398722,65.6092769233,0.0139282837,73100.01
945.668470636,64.9152178938,0.0138341348,73050.01
938.818370154,64.2258577059,0.01374033,73000.01
931.9980628763,63.5411791599,0.0136468692,72950.01
925.2075144037,62.8611650562,0.0135537523,72900.01
918.4466903368,62.185798195,0.0134609795,72850.01
911.7155562761,61.5150613766,0.0133685506,72800.01
905.0140778223,60.8489374014,0.0132764657,72750.01
898.342220576,60.1874090696,0.0131847249,72700.01
891.6999501377,59.5304591815,0.013093328,72650.01
885.0872321081,58.8780705374,0.0130022751,72600.01
878.5040320878,58.2302259378,0.0129115662,72550.01
871.9503156773,57.5869081827,0.0128212013,72500.01
865.4260484774,56.9481000726,0.0127311804,72450.01
858.9311960885,56.3137844077,0.0126415035,72400.01
852.4657241113,55.6839439884,0.0125521706,72350.01
846.0295981464,55.058561615,0.0124631817,72300.01
839.6227837945,54.4376200876,0.0123745367,72250.01
833.245246656,53.8211022068,0.0122862358,72200.01
826.8969523316,53.2089907727,0.0121982789,72150.01
820.577866422,52.6012685857,0.0121106659,72100.01
814.2879545276,51.997918446,0.012023397,72050.01
808.0271822492,51.398923154,0.011936472,72000.01
801.7955151874,50.8042655099,0.0118498911,71950.01
795.5929189426,50.2139283141,0.0117636541,71900.01
789.4193591156,49.6278943669,0.0116777611,71850.01
783.2748013069,49.0461464686,0.0115922121,71800.01
777.1592111172,48.4686674194,0.0115070072,71750.01
771.072554147,47.8954400197,0.0114221462,71700.01
765.0147959969,47.3264470698,0.0113376292,71650.01
758.9859022676,46.76167137,0.0112534562,71600.01
752.9858385597,46.2010957205,0.0111696272,71550.01
747.0145704737,45.6447029217,0.0110861421,71500.01
741.0720636103,45.0924757739,0.0110030011,71450.01
735.1582835701,44.5443970774,0.0109202041,71400.01
729.2731959536,44.0004496325,0.010837751,71350.01
723.4167663615,43.4606162395,0.010755642,71300.01
717.5889603944,42.9248796987,0.010673877,71250.01
711.7897436529,42.3932228103,0.0105924559,71200.01
706.0190817376,41.8656283748,0.0105113788,71150.01
700.276940249,41.3420791923,0.0104306458,71100.01
694.5632847879,40.8225580633,0.0103502567,71050.01
688.8780809548,40.307047788,0.0102702116,71000.01
683.2212943502,39.7955311666,0.0101905106,70950.01
677.5928905749,39.2879909996,0.0101111535,70900.01
671.9928352294,38.7844100872,0.0100321404,70850.01
666.4210939143,38.2847712297,0.0099534713,70800.01
660.8776322303,37.7890572274,0.0098751462,70750.01
655.3624157778,37.2972508806,0.009797165,70700.01
649.8754101576,36.8093349896,0.0097195279,70650.01
644.4165809702,36.3252923548,0.0096422348,70600.01
638.9858938163,35.8451057764,0.0095652857,70550.01
633.5833142964,35.3687580547,0.0094886805,70500.01
628.2088080111,34.89623199,0.0094124194,70450.01
622.8623405611,34.4275103827,0.0093365022,70400.01
617.543877547,33.9625760329,0.0092609291,70350.01
612.2533845693,33.5014117411,0.0091856999,70300.01
606.9908272286,33.0440003076,0.0091108148,70250.01
601.7561711257,32.5903245326,0.0090362736,70200.01
596.549381861,32.1403672164,0.0089620764,70150.01
591.3704250352,31.6941111593,0.0088882232,70100.01
586.2192662488,31.2515391617,0.008814714,70050.01
581.0958711025,30.8126340239,0.0087415488,70000.01
576.000205197,30.3773785461,0.0086687276,69950.01
570.9322341327,29.9457555286,0.0085962504,69900.01
565.8919235103,29.5177477718,0.0085241172,69850.01
560.8792389304,29.0933380759,0.008452328,69800.01
555.8941459936,28.6725092413,0.0083808827,69750.01
550.9366103005,28.2552440682,0.0083097815,69700.01
546.0065974517,27.841525357,0.0082390243,69650.01
541.1040730478,27.431335908,0.008168611,69600.01
536.2290026895,27.0246585214,0.0080985418,69550.01
531.3813519773,26.6214759976,0.0080288165,69500.01
526.5610865118,26.2217711368,0.0079594352,69450.01
521.7681718936,25.8255267394,0.007890398,69400.01
517.0025737233,25.4327256057,0.0078217047,69350.01
512.2642576016,25.0433505359,0.0077533554,69300.01
507.5531891291,24.6573843305,0.0076853501,69250.01
502.8693339063,24.2748097896,0.0076176888,69200.01
498.2126575338,23.8956097135,0.0075503715,69150.01
493.5831256123,23.5197669027,0.0074833982,69100.01
488.9807037423,23.1472641573,0.0074167689,69050.01
484.4053575245,22.7780842777,0.0073504836,69000.01
479.8570525595,22.4122100642,0.0072845423,68950.01
475.3357544479,22.0496243171,0.0072189449,68900.01
470.8414287902,21.6903098367,0.0071536916,68850.01
466.3740411871,21.3342494233,0.0070887823,68800.01
461.9335572391,20.9814258771,0.0070242169,68750.01
457.519942547,20.6318219986,0.0069599956,68700.01
453.1331627112,20.2854205879,0.0068961182,68650.01
448.7731833325,19.9422044455,0.0068325848,68600.01
444.4399700113,19.6021563715,0.0067693955,68550.01
440.1334883484,19.2652591664,0.0067065501,68500.01
435.8537039442,18.9314956303,0.0066440487,68450.01
431.6005823995,18.6008485637,0.0065818913,68400.01
427.3740893147,18.2733007668,0.0065200779,68350.01
423.1741902906,17.9488350399,0.0064586085,68300.01
419.0008509277,17.6274341833,0.0063974831,68250.01
414.8540368267,17.3090809973,0.0063367017,68200.01
410.733713588,16.9937582822,0.0062762643,68150.01
406.6398468124,16.6814488384,0.0062161708,68100.01
402.5724021005,16.372135466,0.0061564214,68050.01
398.5313450528,16.0658009655,0.006097016,68000.01
394.5166412699,15.7624281371,0.0060379545,67950.01
390.5282563525,15.4619997812,0.0059792371,67900.01
386.5661559011,15.164498698,0.0059208636,67850.01
382.6303055164,14.8699076878,0.0058628341,67800.01
378.7206707989,14.5782095509,0.0058051487,67750.01
374.8372173493,14.2893870877,0.0057478072,67700.01
370.9799107682,14.0034230984,0.0056908097,67650.01
367.1487166562,13.7203003833,0.0056341562,67600.01
363.3436006138,13.4400017428,0.0055778467,67550.01
359.5645282417,13.1625099771,0.0055218812,67500.01
355.8114651405,12.8878078866,0.0054662597,67450.01
352.0843769108,12.6158782715,0.0054109822,67400.01
348.3832291532,12.3467039322,0.0053560487,67350.01
344.7079874682,12.0802676689,0.0053014592,67300.01
341.0586174566,11.816552282,0.0052472136,67250.01
337.4350847189,11.5555405717,0.0051933121,67200.01
333.8373548557,11.2972153384,0.0051397546,67150.01
330.2653934676,11.0415593823,0.005086541,67100.01
326.7191661552,10.7885555039,0.0050336715,67050.01
323.1986385192,10.5381865032,0.0049811459,67000.01
319.7037761601,10.2904351808,0.0049289643,66950.01
316.2345446785,10.0452843368,0.0048771268,66900.01
312.790909675,9.8027167715,0.0048256332,66850.01
309.3728367503,9.5627152854,0.0047744836,66800.01
305.9802915049,9.3252626786,0.004723678,66750.01
302.6132395394,9.0903417515,0.0046732164,66700.01
299.2716464546,8.8579353043,0.0046230988,66650.01
295.9554778508,8.6280261375,0.0045733252,66600.01
292.6646993288,8.4005970512,0.0045238956,66550.01
289.3992764892,8.1756308458,0.00447481,66500.01
286.1591749326,7.9531103216,0.0044260683,66450.01
282.9443602595,7.7330182789,0.0043776707,66400.01
279.7539723686,7.5153376109,0.0043296046,66350.01
276.5818377121,7.3000539747,0.0042817775,66300.01
273.4266821155,7.0871561915,0.0042341705,66250.01
270.2884835678,6.8766332557,0.0041867836,66200.01
267.1672200583,6.668474162,0.0041396168,66150.01
264.0628695759,6.462667905,0.0040926701,66100.01
260.9754101099,6.2592034791,0.0040459436,66050.01
257.9048196495,6.058069879,0.0039994371,66000.01
254.8510761836,5.8592560992,0.0039531508,65950.01
251.8141577015,5.6627511343,0.0039070845,65900.01
248.7940421923,5.4685439789,0.0038612384,65850.01
245.7907076451,5.2766236275,0.0038156124,65800.01
242.8041320491,5.0869790747,0.0037702064,65750.01
239.8342933934,4.899599315,0.0037250206,65700.01
236.8811696671,4.7144733431,0.0036800549,65650.01
233.9447388594,4.5315901534,0.0036353093,65600.01
231.0249789593,4.3509387407,0.0035907839,65550.01
228.1218679561,4.1725080993,0.0035464785,65500.01
225.2353838389,3.996287224,0.0035023932,65450.01
222.3655045967,3.8222651092,0.0034585281,65400.01
219.5122082188,3.6504307495,0.003414883,65350.01
216.6754726942,3.4807731395,0.0033714581,65300.01
213.8552760121,3.3132812738,0.0033282532,65250.01
211.0515961617,3.1479441469,0.0032852685,65200.01
208.264411132,2.9847507534,0.0032425039,65150.01
205.4936989121,2.8236900878,0.0031999594,65100.01
202.7394374914,2.6647511448,0.003157635,65050.01
200.0016048587,2.5079229189,0.0031155307,65000.01
197.2801790034,2.3531944046,0.0030736465,64950.01
194.5751379145,2.2005545966,0.0030319825,64900.01
191.8864595811,2.0499924893,0.0029905385,64850.01
189.2141219925,1.9014970774,0.0029493147,64800.01
186.5581031377,1.7550573554,0.0029083109,64750.01
183.9183810058,1.6106623179,0.0028675273,64700.01
181.294933586,1.4683009595,0.0028269637,64650.01
178.6877388674,1.3279622747,0.0027866203,64600.01
176.0967748392,1.1896352581,0.002746497,64550.01
173.5220194905,1.0533089043,0.0027065938,64500.01
170.9634508104,0.9189722077,0.0026669107,64450.01
168.4210467881,0.7866141631,0.0026274477,64400.01
165.8947854126,0.6562237649,0.0025882049,64350.01
163.3846446732,0.5277900077,0.0025491821,64300.01
160.8906025589,0.4013018862,0.0025103794,64250.01
158.4126370589,0.2767483948,0.0024717969,64200.01
155.9507261624,0.1541185281,0.0024334345,64150.01
153.5048478584,0.0334012807,0.0023952921,64100.01
151.0749801361,-0.0854143529,0.0023573699,64050.01
